0h 3m 23s,11/3/2013 16:56,N 4th Ave & W River Parkway,30144,11/3/2013 16:59,Washington & 2nd Ave. N,30021,N00636
0h 21m 39s,11/3/2013 16:49,Washington Ave S & 9th Ave S,30046,11/3/2013 17:11,100 Main Street SE,30000,N01870
0h 3m 7s,11/3/2013 16:49,Mpls. Convention Center,30012,11/3/2013 16:52,IDS Center,30042,N00957
0h 7m 13s,11/3/2013 16:49,5th Ave N & 4th Street N,30056,11/3/2013 16:56,2nd Ave N & N 6th Street,30053,N01154
0h 11m 54s,11/3/2013 16:49,Lake Harriet Bandshell,30157,11/3/2013 17:01,Lake Calhoun Center,30089,N01747
0h 22m 20s,11/3/2013 16:49,Washington Ave S & 9th Ave S,30046,11/3/2013 17:11,100 Main Street SE,30000,N01879
0h 21m 57s,11/3/2013 16:48,Lake Street & Knox Ave S,30158,11/3/2013 17:10,West 36th Street & Bryant Ave S,30095,C00334
0h 26m 16s,11/3/2013 16:48,Fort Snelling State Park,30159,11/3/2013 17:14,Minnehaha Park,30149,N00558
0h 10m 19s,11/3/2013 16:47,Washington & Cedar,30015,11/3/2013 16:58,Gateway Park,30091,N00849
0h 26m 58s,11/3/2013 16:47,Fort Snelling State Park,30159,11/3/2013 17:14,Minnehaha Park,30149,N00768
0h 14m 57s,11/3/2013 16:46,LaSalle Ave & 9th Street S,30167,11/3/2013 17:01,2nd Ave N & N 6th Street,30053,N09991
0h 1m 48s,11/3/2013 16:46,9th Street N & Hawthorne Ave,30142,11/3/2013 16:48,2nd Ave N & N 6th Street,30053,N01116
0h 6m 38s,11/3/2013 16:44,22nd Street & Lyndale,30017,11/3/2013 16:51,MCAD,30018,N09997
0h 11m 1s,11/3/2013 16:44,MCAD,30018,11/3/2013 16:55,Hennepin Ave. & 4th Street,30055,N01098
0h 11m 22s,11/3/2013 16:43,Portland Ave. & Washington Ave.,30090,11/3/2013 16:55,YWCA Downtown,30006,N00681
0h 34m 31s,11/3/2013 16:43,Lake Street & West River Parkway,30147,11/3/2013 17:18,Mississippi River Blvd & Summit Ave,30162,C00369
0h 6m 46s,11/3/2013 16:43,10th Street E & Cedar Street,30117,11/3/2013 16:49,Union Depot,30119,N00180
0h 34m 43s,11/3/2013 16:43,Lake Street & West River Parkway,30147,11/3/2013 17:18,Mississippi River Blvd & Summit Ave,30162,N00739
0h 36m 23s,11/3/2013 16:42,Oak Street Ramp,30034,11/3/2013 17:18,IDS Center,30042,C00489
0h 16m 44s,11/3/2013 16:40,Portland Ave. & Washington Ave.,30090,11/3/2013 16:57,Mayo Memorial Building,30026,N00268
